batch_id,plant_id,operator_shift,day_of_week,cement_brand,cement_kg_m3,slag_kg_m3,fly_ash_kg_m3,silica_fume_kg_m3,water_kg_m3,superplasticizer_kg_m3,fine_aggregate_kg_m3,coarse_aggregate_kg_m3,air_content_pct,slump_mm,mix_time_s,temperature_C,humidity_pct,curing_method,aggregate_type,nearby_traffic_count,sensor_noise_index,age_days,compressive_strength_mpa
490268,PLANT_02,day,0,A,271.6,37.2,7.8,11.24,176.9,5.97,598.3,994.3,2.02,59.0,237.0,5.0,98.0,water_cured,granite,1992,0.584,28,94.95
655971,PLANT_01,day,1,A,270.2,0.0,82.4,11.77,190.2,3.39,768.3,1197.5,2.4,188.0,153.0,24.3,77.0,water_cured,granite,2077,1.589,7,78.35
972120,PLANT_02,night,3,B,323.7,129.7,97.0,2.16,224.0,4.89,666.6,1064.7,2.54,238.0,191.0,27.5,47.0,air_cured,granite,111,-1.382,28,92.71
633507,PLANT_03,swing,2,A,373.0,67.2,79.6,8.5,171.8,4.58,839.1,1123.3,3.96,22.0,120.0,23.0,34.0,water_cured,basalt,4401,1.761,3,92.98
725417,PLANT_02,swing,2,A,417.9,0.0,42.1,0.0,174.0,5.75,817.2,919.2,2.73,68.0,157.0,36.3,61.0,water_cured,granite,3545,0.896,56,110.0
133288,PLANT_02,day,3,C,351.6,0.0,15.4,6.44,213.2,2.36,719.8,1052.2,1.0,,161.0,17.5,77.0,water_cured,granite,816,-0.761,28,98.21
623004,PLANT_03,night,2,A,298.8,50.8,162.0,3.93,161.3,0.0,891.0,762.3,1.0,120.0,117.0,13.7,60.0,steam_cured,gravel,4827,0.097,56,110.0
329760,PLANT_03,swing,3,A,184.2,101.3,0.0,15.07,141.9,3.53,699.4,1005.5,1.2,63.0,90.0,28.3,67.0,water_cured,granite,3802,-0.609,28,91.67
477967,PLANT_01,night,2,B,334.9,0.0,74.7,3.41,181.3,3.54,817.0,996.5,2.62,59.0,163.0,28.7,98.0,water_cured,limestone,1370,0.134,180,110.0
576554,PLANT_02,swing,5,C,331.8,111.2,50.0,11.95,201.9,1.68,640.1,1235.0,1.0,86.0,232.0,27.7,66.0,air_cured,limestone,332,1.677,90,110.0
569166,PLANT_02,night,3,A,342.8,45.0,32.2,1.87,184.0,0.98,764.5,1198.1,1.0,162.0,185.0,12.4,98.0,sealed,granite,1002,0.539,56,109.93
234869,PLANT_03,day,3,A,477.4,0.0,43.3,0.0,172.6,2.85,617.4,943.8,2.49,150.0,135.0,15.1,79.0,water_cured,limestone,3302,-0.317,7,110.0
863732,PLANT_04,night,2,A,416.8,24.3,12.0,3.2,138.8,3.77,722.1,865.6,1.28,63.0,132.0,8.5,84.0,steam_cured,limestone,2411,0.387,28,110.0
385763,PLANT_02,day,1,A,385.0,146.2,54.2,6.57,173.5,4.19,714.3,869.4,5.18,184.0,134.0,33.8,61.0,water_cured,granite,4006,-1.405,3,83.34
804812,PLANT_01,day,0,A,262.7,0.0,49.3,6.21,205.8,0.0,816.6,938.7,1.34,58.0,54.0,13.6,64.0,sealed,granite,1328,1.587,7,66.98
367023,PLANT_02,day,5,A,294.1,9.7,155.5,6.33,144.1,0.49,646.2,1162.2,3.29,42.0,116.0,11.6,65.0,water_cured,gravel,2260,-0.229,28,102.44
893432,PLANT_03,swing,2,C,323.4,102.4,83.2,0.95,168.9,,950.0,1038.1,1.81,85.0,111.0,19.3,63.0,water_cured,limestone,1888,-0.242,56,110.0
203423,PLANT_03,day,2,A,275.7,61.9,58.2,2.41,165.3,3.62,568.0,1052.5,1.0,117.0,79.0,20.8,77.0,water_cured,basalt,4385,0.213,180,110.0
833594,PLANT_02,day,3,A,365.0,6.5,60.9,0.0,157.6,4.0,745.6,1093.6,1.3,80.0,174.0,24.7,88.0,water_cured,basalt,3345,-0.496,14,104.1
376888,PLANT_03,day,5,A,355.0,103.1,117.8,0.0,181.2,1.33,751.7,840.8,1.91,151.0,132.0,19.1,98.0,air_cured,gravel,4656,-0.851,28,107.04
979552,PLANT_02,swing,2,B,253.8,105.7,0.0,4.15,186.1,3.99,779.2,880.7,1.32,45.0,50.0,15.2,52.0,water_cured,gravel,4045,0.328,28,92.75
264994,PLANT_03,day,3,A,413.8,68.2,26.8,0.0,185.8,3.25,663.3,1052.8,4.8,50.0,130.0,17.2,65.0,water_cured,gravel,1976,-0.347,7,91.55
507043,PLANT_01,day,2,A,337.2,16.3,0.0,13.64,150.6,2.76,746.6,871.0,1.0,155.0,188.0,15.8,83.0,air_cured,limestone,2185,-1.154,7,71.57
823145,PLANT_01,day,6,B,209.0,24.8,60.1,0.0,133.9,1.08,657.9,766.3,1.45,205.0,97.0,29.8,66.0,water_cured,limestone,4299,0.989,28,94.73
926464,PLANT_02,day,2,A,326.4,65.7,73.2,7.33,181.6,2.26,926.0,828.4,2.71,59.0,84.0,20.0,42.0,water_cured,gravel,1898,-2.474,7,87.19
382434,PLANT_04,day,1,B,349.7,0.0,0.0,21.97,162.4,7.94,650.1,1127.6,6.24,192.0,76.0,24.4,79.0,water_cured,gravel,2007,-1.207,28,101.74
784550,PLANT_04,day,2,B,398.1,123.0,99.6,3.54,221.0,3.3,703.7,927.6,2.98,229.0,124.0,18.5,51.0,water_cured,gravel,1516,0.796,28,110.0
879320,PLANT_03,day,2,A,306.4,143.5,2.7,4.98,222.1,5.58,647.0,1011.6,2.59,46.0,93.0,7.2,69.0,water_cured,granite,3682,-0.294,56,108.92
749264,PLANT_03,day,4,C,388.0,37.0,19.6,8.41,224.8,3.61,632.0,835.4,3.6,56.0,72.0,31.5,96.0,water_cured,gravel,2312,1.222,56,109.51
731104,PLANT_02,day,4,A,343.1,69.6,40.4,9.04,151.5,3.38,565.9,1033.1,,78.0,212.0,24.1,78.0,air_cured,granite,4494,1.135,14,93.91
244168,PLANT_03,swing,3,A,237.9,115.2,106.7,1.73,189.2,2.73,793.9,942.3,4.87,183.0,129.0,22.7,76.0,sealed,limestone,748,0.948,56,102.62
986107,PLANT_03,swing,4,A,230.9,157.6,0.0,0.0,196.8,6.69,646.0,1042.5,2.98,57.0,100.0,5.2,92.0,sealed,gravel,3306,1.504,56,96.47
340099,PLANT_02,day,5,B,408.6,135.6,48.1,10.22,194.0,4.75,632.3,913.1,2.34,38.0,216.0,19.0,63.0,air_cured,limestone,4283,-0.253,28,110.0
938999,PLANT_01,night,3,A,413.7,0.0,69.9,0.0,166.1,2.42,614.1,1050.6,1.0,101.0,132.0,30.8,71.0,water_cured,gravel,1145,-0.129,14,108.43
260553,PLANT_03,day,6,C,352.6,32.6,60.6,11.66,207.0,3.21,753.5,906.2,2.47,130.0,114.0,29.1,62.0,sealed,granite,1982,0.036,28,102.97
814370,PLANT_01,night,2,C,434.7,77.5,62.2,1.87,175.0,6.15,722.4,968.8,5.49,175.0,130.0,18.5,79.0,sealed,basalt,430,1.006,7,93.66
439788,PLANT_03,swing,6,A,404.0,22.8,69.3,5.02,178.2,0.0,722.9,942.0,1.0,148.0,100.0,28.5,41.0,water_cured,granite,1119,-0.567,7,93.36
781485,PLANT_03,swing,6,A,377.9,148.1,10.0,0.8,136.6,4.62,636.3,983.7,4.54,57.0,114.0,31.0,49.0,water_cured,granite,1023,0.904,1,77.2
930325,PLANT_04,swing,0,C,266.2,139.6,111.0,16.45,191.1,5.08,767.9,1019.1,2.33,166.0,147.0,18.9,66.0,water_cured,gravel,768,0.079,56,108.97
687135,PLANT_03,swing,6,B,451.2,5.1,30.0,6.99,168.5,2.5,647.1,910.7,3.86,193.0,216.0,29.2,76.0,water_cured,basalt,1298,1.005,28,110.0
144369,PLANT_01,night,2,B,367.5,41.1,24.0,2.43,186.6,4.31,727.7,963.3,3.07,119.0,99.0,28.9,98.0,water_cured,gravel,1047,0.908,56,110.0
209205,PLANT_04,day,6,B,303.0,8.8,95.6,2.2,180.9,5.0,704.6,1006.1,2.09,163.0,149.0,25.9,49.0,sealed,granite,3543,-0.142,56,108.1
616844,PLANT_02,swing,4,C,283.2,39.3,6.6,3.81,179.5,1.54,534.3,1051.1,2.33,,72.0,26.5,64.0,air_cured,limestone,2636,1.646,28,91.75
973187,PLANT_04,day,4,A,348.0,37.6,49.4,24.18,173.9,5.68,943.2,969.3,3.24,132.0,143.0,13.9,70.0,sealed,gravel,4246,0.934,28,105.07
225188,PLANT_01,night,5,A,213.0,102.5,2.5,0.0,194.7,,783.2,855.8,1.03,138.0,226.0,25.5,44.0,air_cured,gravel,863,-1.796,7,59.6
220867,PLANT_03,day,6,A,379.0,1.1,148.4,13.66,170.0,3.69,739.8,992.1,2.1,163.0,121.0,19.1,52.0,air_cured,limestone,435,-2.074,7,87.16
675775,PLANT_03,day,2,A,263.3,0.0,138.9,9.54,138.6,4.21,757.2,1073.8,2.94,,98.0,13.7,33.0,water_cured,gravel,3680,-1.012,28,104.88
703708,PLANT_01,swing,1,C,355.9,0.0,30.0,17.32,189.2,5.41,945.8,793.4,,119.0,100.0,30.6,75.0,sealed,granite,4930,-0.026,28,100.69
534957,PLANT_04,night,0,B,293.5,0.0,58.4,10.03,154.8,8.63,845.1,795.0,3.24,76.0,142.0,19.2,51.0,steam_cured,granite,3616,1.133,28,97.32
228760,PLANT_01,day,4,A,311.5,13.9,35.2,5.03,141.9,5.22,758.4,887.3,1.67,60.0,123.0,21.6,87.0,water_cured,limestone,415,-0.339,56,110.0
888787,PLANT_01,day,2,B,277.0,60.3,19.3,13.16,149.4,5.62,642.1,953.1,2.21,77.0,104.0,21.0,73.0,sealed,gravel,3673,-0.328,28,93.71
208783,PLANT_04,day,6,C,318.7,0.0,40.4,6.84,182.1,4.39,659.4,672.4,,85.0,151.0,9.1,62.0,steam_cured,gravel,2904,0.283,28,96.5
237281,PLANT_03,night,6,B,462.3,0.0,33.2,11.04,172.6,7.8,521.6,1060.4,4.38,161.0,88.0,17.9,51.0,water_cured,limestone,3690,1.48,28,110.0
728055,PLANT_01,day,2,B,427.0,0.0,0.0,16.43,121.7,1.07,679.5,954.4,2.53,73.0,162.0,25.4,72.0,water_cured,limestone,2899,0.368,14,110.0
213502,PLANT_03,day,6,A,354.8,0.0,46.8,5.74,165.4,0.53,792.8,650.8,2.21,72.0,107.0,20.1,60.0,sealed,limestone,4680,-0.247,1,68.34
563530,PLANT_01,night,3,A,328.2,19.5,33.1,1.6,204.2,4.31,789.7,824.2,2.2,101.0,151.0,17.5,75.0,water_cured,gravel,4127,-1.123,28,95.48
996021,PLANT_01,day,1,,389.1,17.1,49.0,0.0,163.7,5.32,787.8,937.9,1.84,167.0,161.0,22.3,86.0,water_cured,gravel,3136,-1.27,7,83.53
702478,PLANT_02,day,4,A,409.1,87.9,31.5,8.6,170.9,0.0,663.3,731.8,3.51,61.0,61.0,27.5,51.0,water_cured,granite,39,-1.494,28,110.0
524550,PLANT_03,day,4,B,271.9,0.0,18.8,0.0,201.1,3.99,780.6,1115.9,2.24,170.0,117.0,8.6,57.0,water_cured,gravel,1383,0.496,56,105.35
828964,PLANT_03,day,3,B,324.6,30.3,74.4,2.2,194.9,3.64,810.7,1006.2,1.0,74.0,70.0,19.3,88.0,water_cured,limestone,2200,0.322,7,82.09
436750,PLANT_04,night,2,B,202.5,20.0,59.0,0.0,200.5,5.49,475.0,1074.9,1.23,42.0,65.0,20.1,90.0,air_cured,granite,3546,0.595,3,54.7
179016,PLANT_04,night,1,A,408.6,94.5,97.8,9.07,120.0,4.86,753.5,835.9,1.0,46.0,111.0,32.4,48.0,air_cured,basalt,235,0.882,14,110.0
699111,PLANT_04,day,6,A,474.6,41.5,57.3,0.0,218.3,0.38,948.9,1037.6,5.35,172.0,134.0,28.4,50.0,water_cured,limestone,2051,0.168,14,110.0
872753,PLANT_04,day,1,A,335.6,107.8,26.1,0.0,190.9,1.84,687.9,887.5,1.95,10.0,70.0,10.3,50.0,air_cured,limestone,2323,-0.946,28,93.51
595561,PLANT_02,day,2,A,181.2,0.0,62.8,0.0,236.5,2.39,450.0,953.1,5.72,45.0,132.0,29.4,69.0,water_cured,limestone,4834,-0.665,28,84.96
172003,PLANT_02,day,6,C,372.6,47.3,0.0,0.43,155.4,5.48,630.6,1029.4,2.41,62.0,88.0,18.9,40.0,water_cured,gravel,2377,0.114,56,108.97
276440,PLANT_01,swing,3,A,266.7,18.3,129.7,1.16,130.9,4.75,520.4,970.2,1.61,139.0,123.0,8.7,66.0,sealed,granite,3351,-0.39,28,96.52
910357,PLANT_02,day,5,B,283.6,0.0,47.3,7.01,175.2,2.76,650.2,1093.2,1.87,54.0,291.0,10.6,64.0,water_cured,limestone,142,-1.833,28,87.0
350138,PLANT_02,night,2,C,373.9,46.3,133.3,3.71,168.1,4.29,585.4,999.5,2.35,87.0,107.0,29.6,54.0,sealed,limestone,4101,-0.711,56,110.0
693653,PLANT_04,swing,4,B,347.8,145.3,0.0,7.96,191.3,1.88,822.4,915.2,1.0,65.0,81.0,23.2,67.0,water_cured,gravel,1850,1.405,7,77.64
222795,PLANT_01,day,5,B,295.8,3.1,0.0,8.6,201.9,8.1,805.6,1098.0,1.0,71.0,119.0,13.1,67.0,sealed,limestone,720,0.221,1,67.6
536091,PLANT_02,day,6,C,284.5,43.0,51.5,10.92,172.8,5.15,757.7,1127.5,4.09,,112.0,31.1,59.0,water_cured,gravel,2389,0.111,3,74.45
779606,PLANT_03,day,3,A,338.8,0.0,51.3,0.0,169.0,5.57,854.9,992.3,1.55,138.0,106.0,25.0,95.0,water_cured,granite,952,-0.808,56,110.0
516977,PLANT_03,day,1,C,301.3,0.0,50.2,0.0,188.1,6.75,657.8,1167.1,5.81,116.0,121.0,18.2,58.0,air_cured,granite,3702,-1.439,28,87.2
975802,PLANT_04,day,1,C,252.4,6.7,43.4,9.44,168.6,6.03,728.1,947.0,3.01,176.0,112.0,22.1,66.0,air_cured,limestone,86,0.064,7,67.08
118438,PLANT_04,swing,5,B,306.7,25.3,6.7,6.69,166.5,4.06,950.0,962.1,1.46,211.0,78.0,13.9,54.0,water_cured,limestone,2895,0.369,28,96.03
748957,PLANT_03,day,4,A,353.8,27.7,0.0,12.82,200.9,3.63,784.4,980.6,7.24,61.0,160.0,34.0,82.0,water_cured,gravel,1099,-1.439,7,96.43
442959,PLANT_02,day,2,,317.5,37.6,47.7,0.0,206.5,6.58,784.1,961.8,4.22,,190.0,11.7,45.0,steam_cured,granite,3262,0.852,28,95.6
892836,PLANT_01,swing,0,A,231.1,0.0,0.0,1.2,202.1,4.05,635.6,936.5,1.0,57.0,105.0,11.0,68.0,steam_cured,limestone,3747,-0.487,28,82.48
199942,PLANT_01,night,5,A,399.2,15.6,0.0,2.63,170.8,2.5,674.2,879.9,1.14,110.0,136.0,21.4,49.0,water_cured,basalt,3736,0.348,28,107.27
143590,PLANT_01,day,4,A,180.0,77.6,17.9,6.33,121.5,7.93,609.7,840.8,1.74,53.0,59.0,38.0,34.0,water_cured,granite,4903,0.043,14,82.31
660476,PLANT_01,swing,1,A,298.8,0.0,54.4,5.29,171.3,2.13,904.9,995.5,6.65,60.0,119.0,10.2,53.0,water_cured,granite,4711,-0.09,28,92.83
498415,PLANT_03,day,6,C,286.6,30.5,124.4,8.75,156.1,0.53,548.6,1147.8,1.0,,235.0,25.7,54.0,water_cured,limestone,1123,2.653,28,107.32
738285,PLANT_04,day,4,A,340.4,66.1,79.1,4.08,171.8,5.99,820.6,1094.0,2.65,159.0,159.0,20.5,75.0,water_cured,basalt,2018,0.559,3,88.1
953831,PLANT_02,day,2,A,369.3,7.0,99.5,15.98,158.2,2.54,783.9,1034.3,8.3,122.0,127.0,22.8,50.0,sealed,basalt,4935,0.031,7,79.56
952292,PLANT_02,day,4,A,408.9,68.8,64.4,18.53,174.5,4.87,543.6,1154.9,1.83,,118.0,28.0,28.0,sealed,gravel,2406,0.633,180,110.0
857567,PLANT_04,day,2,A,280.1,0.0,51.5,0.0,149.0,7.63,845.7,982.7,2.54,53.0,108.0,15.2,29.0,steam_cured,limestone,288,-0.4,90,110.0
788056,PLANT_03,swing,2,A,371.1,98.9,147.8,5.36,143.0,1.25,691.5,841.6,1.53,,139.0,18.2,68.0,sealed,gravel,4984,0.811,28,110.0
454107,PLANT_04,swing,0,A,343.7,70.1,0.0,11.38,205.6,3.92,574.7,931.1,1.11,22.0,172.0,15.2,73.0,water_cured,granite,3548,0.273,14,95.65
973661,PLANT_01,day,5,C,210.2,53.1,16.4,9.68,150.8,6.97,760.1,971.5,3.44,105.0,101.0,29.8,68.0,water_cured,limestone,1725,-0.146,180,110.0
182800,PLANT_03,swing,1,B,463.0,111.9,19.9,1.74,175.0,5.36,629.5,908.3,3.5,150.0,156.0,28.9,57.0,sealed,basalt,419,-0.284,56,110.0
304905,PLANT_02,day,5,B,229.3,31.9,75.2,7.04,198.9,3.64,697.5,1065.4,2.84,85.0,90.0,12.1,71.0,water_cured,granite,3501,-0.157,56,91.88
103329,PLANT_01,day,2,A,359.4,16.0,0.0,0.0,197.9,,664.4,1111.0,1.34,119.0,103.0,22.7,32.0,sealed,limestone,1395,0.011,28,100.66
720049,PLANT_03,day,5,C,357.3,125.5,69.4,4.85,194.9,3.81,623.3,737.5,2.87,198.0,81.0,27.3,29.0,water_cured,limestone,4483,1.205,14,105.13
492888,PLANT_01,swing,6,C,349.3,151.2,61.1,0.0,182.6,4.79,589.3,959.6,1.0,93.0,127.0,8.9,39.0,water_cured,gravel,2660,0.429,3,94.25
331799,PLANT_03,day,6,B,295.4,11.9,71.6,9.06,193.1,7.3,807.7,650.0,3.08,91.0,124.0,29.7,62.0,water_cured,basalt,977,-2.1,90,110.0
956983,PLANT_02,swing,5,,387.9,43.7,70.8,0.0,209.3,5.96,755.7,967.2,1.05,87.0,138.0,19.5,79.0,sealed,gravel,920,1.654,28,106.12
251376,PLANT_01,day,6,B,220.8,107.5,104.2,6.3,185.6,6.64,748.7,965.6,1.0,202.0,134.0,16.8,47.0,water_cured,basalt,994,0.55,7,76.02
254974,PLANT_03,swing,6,A,325.4,45.7,32.8,7.55,129.1,2.2,679.9,1228.7,5.54,68.0,155.0,29.8,49.0,water_cured,basalt,2705,2.508,14,97.42
558147,PLANT_03,night,4,B,290.5,82.7,58.9,5.61,161.8,6.46,725.6,1186.7,1.0,46.0,249.0,27.9,76.0,air_cured,limestone,2707,-0.057,28,100.89
336638,PLANT_01,day,0,A,282.6,92.9,1.9,0.0,192.4,4.34,639.0,1110.5,1.79,188.0,155.0,10.4,57.0,steam_cured,granite,3563,1.156,7,68.44
555331,PLANT_02,day,3,A,360.0,19.1,0.0,3.32,159.3,2.51,637.1,845.6,1.0,37.0,60.0,25.0,68.0,water_cured,limestone,3920,0.761,56,110.0
573862,PLANT_03,swing,1,B,405.4,73.1,114.4,14.45,215.5,,908.1,837.5,2.3,59.0,110.0,24.8,67.0,sealed,limestone,4963,0.192,56,110.0
946402,PLANT_02,day,0,B,306.0,49.7,0.0,1.6,173.4,4.38,817.3,826.6,1.15,120.0,119.0,5.0,43.0,water_cured,granite,2832,1.338,56,108.44
272464,PLANT_03,swing,4,B,384.6,0.0,63.9,5.17,177.1,7.74,658.2,1193.7,1.0,,69.0,23.9,97.0,air_cured,limestone,3152,-0.179,28,105.75
657242,PLANT_03,day,6,C,333.5,0.0,58.9,0.55,203.1,4.76,555.4,852.5,1.55,60.0,160.0,17.1,49.0,water_cured,gravel,122,0.136,28,96.42
467968,PLANT_01,day,0,A,267.5,14.1,87.9,13.16,170.4,2.44,532.9,926.0,1.0,187.0,224.0,27.9,98.0,water_cured,limestone,3211,-1.083,28,99.05
456690,PLANT_01,day,6,C,311.9,101.1,0.0,5.62,179.4,1.98,650.2,854.0,1.0,76.0,89.0,14.0,75.0,water_cured,limestone,2476,-0.216,28,101.64
285825,PLANT_03,day,1,B,309.0,102.9,75.1,0.0,197.5,3.91,731.8,803.9,3.15,185.0,187.0,20.9,70.0,water_cured,basalt,3965,-0.891,3,83.0
675342,PLANT_01,day,0,A,281.2,91.2,32.4,5.06,138.2,1.31,733.0,1026.6,1.0,196.0,175.0,16.3,38.0,air_cured,limestone,1687,0.049,28,95.12
539751,PLANT_03,night,4,A,360.0,74.2,8.0,3.07,167.9,2.57,736.3,1001.5,2.4,97.0,132.0,15.6,71.0,water_cured,granite,1114,0.622,3,86.23
187081,PLANT_02,day,1,A,346.4,72.7,23.7,16.14,195.7,3.51,756.8,668.6,1.77,74.0,160.0,5.0,64.0,water_cured,gravel,1688,0.4,28,102.03
965945,PLANT_01,day,4,A,218.7,65.3,81.7,4.64,176.6,3.16,605.8,797.7,1.11,44.0,92.0,27.5,61.0,sealed,limestone,4517,0.224,14,90.22
919980,PLANT_01,night,3,B,214.4,72.4,67.9,0.0,211.7,5.45,885.9,1015.7,3.13,175.0,180.0,28.1,42.0,water_cured,limestone,322,0.733,7,65.14
861030,PLANT_01,day,0,C,359.7,76.1,29.2,8.99,135.6,2.52,698.3,969.9,5.86,71.0,187.0,20.5,81.0,sealed,gravel,3090,2.453,7,103.97
366974,PLANT_02,day,5,B,272.9,0.0,0.0,19.29,132.7,0.0,752.4,923.9,1.97,187.0,142.0,22.6,82.0,water_cured,gravel,4698,-0.44,28,95.76
781669,PLANT_02,day,4,A,351.1,6.5,0.0,14.58,194.2,0.63,647.8,1064.8,2.0,57.0,134.0,14.9,34.0,steam_cured,limestone,1281,2.438,7,81.52
289900,PLANT_03,day,0,A,384.7,0.0,68.9,0.0,196.6,3.96,754.3,778.0,1.0,206.0,91.0,27.5,54.0,air_cured,granite,3963,-1.392,90,110.0
670216,PLANT_04,day,0,A,241.0,110.9,0.0,2.85,170.2,2.83,948.5,896.7,1.0,94.0,167.0,21.7,60.0,water_cured,limestone,2273,-2.329,28,96.27
507071,PLANT_04,swing,1,A,231.2,141.0,29.7,4.75,185.0,1.53,611.2,1052.5,1.83,86.0,121.0,20.4,71.0,water_cured,gravel,197,1.222,28,94.18
329130,PLANT_02,day,6,B,447.2,0.0,155.6,4.85,193.6,7.92,597.3,889.1,1.0,98.0,114.0,30.3,68.0,sealed,limestone,2629,0.086,28,110.0
583240,PLANT_03,day,4,A,354.6,136.1,55.7,8.05,154.7,5.66,624.9,1023.8,1.0,,167.0,10.9,64.0,air_cured,gravel,2041,-1.543,1,86.42
597649,PLANT_03,swing,5,C,300.7,54.8,68.4,2.25,157.3,3.88,683.4,819.5,2.68,112.0,108.0,6.4,74.0,air_cured,limestone,63,0.051,180,110.0
682472,PLANT_01,day,2,A,264.6,105.7,0.0,0.0,179.7,4.47,662.6,864.7,1.0,157.0,94.0,23.1,98.0,air_cured,limestone,553,-0.409,28,90.64
979791,PLANT_02,swing,5,A,294.3,77.9,0.0,12.61,197.6,3.47,605.5,730.5,2.76,78.0,176.0,18.5,60.0,air_cured,limestone,1465,0.405,56,96.18
714997,PLANT_03,day,5,A,246.7,129.2,70.8,0.0,145.9,1.49,714.5,692.0,4.46,117.0,71.0,12.1,84.0,water_cured,granite,2465,-0.247,3,90.43
508011,PLANT_01,day,3,C,391.8,61.5,22.3,0.0,170.1,,891.7,913.4,2.53,182.0,155.0,21.2,97.0,air_cured,gravel,1006,1.303,28,103.52
399989,PLANT_01,swing,4,A,275.6,0.0,87.8,0.0,168.9,5.7,703.5,1043.0,1.0,99.0,78.0,22.5,92.0,,limestone,1070,0.173,28,99.16
564646,PLANT_01,night,0,B,406.5,44.2,41.4,9.9,185.4,0.05,709.4,963.9,7.27,90.0,64.0,26.2,77.0,sealed,limestone,2915,0.284,90,110.0
668064,PLANT_03,day,1,A,302.0,78.4,195.0,5.85,174.8,4.45,757.7,1142.4,2.1,62.0,151.0,12.3,77.0,sealed,granite,263,-0.185,28,105.85
163400,PLANT_02,swing,0,A,257.0,38.1,13.7,12.07,161.4,4.67,791.2,925.0,1.97,238.0,134.0,17.1,73.0,sealed,limestone,4418,0.697,28,89.51
307274,PLANT_01,swing,6,A,300.2,86.2,52.5,0.0,206.2,3.36,871.1,683.2,1.74,,96.0,22.1,95.0,water_cured,limestone,4168,-0.111,14,90.93
901578,PLANT_02,day,6,A,180.0,46.4,0.0,0.0,161.5,8.19,746.4,1028.2,1.08,28.0,80.0,27.8,58.0,steam_cured,granite,4644,1.011,14,71.65
791799,PLANT_03,swing,5,A,321.5,17.2,85.9,1.45,167.7,7.98,719.7,829.0,1.0,140.0,135.0,26.4,58.0,water_cured,granite,1434,-1.387,28,106.02
579607,PLANT_03,swing,0,A,318.1,0.0,59.3,3.54,135.2,3.24,610.9,997.6,1.0,203.0,102.0,16.5,53.0,air_cured,basalt,352,0.124,28,101.69
541191,PLANT_02,swing,1,A,387.7,28.5,0.0,6.67,157.2,3.55,801.4,660.0,1.0,53.0,158.0,23.6,98.0,sealed,limestone,4089,-0.58,1,75.97
177243,PLANT_03,day,6,A,198.0,61.3,25.2,0.0,187.9,3.32,627.1,941.5,1.61,150.0,98.0,16.4,93.0,water_cured,limestone,4911,-0.983,56,102.19
